input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,error,success,missing,consistent_xp,family
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.12.3,9.80993,SAT,4.86514,10947356,Concrete,3.12.3,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),11.6944,SAT,5.97747,15142500,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),14.1492,SAT,8.11736,15140452,Fun-sCOP,order+GlueMiniSat (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2.0,14.8738,SAT,14.8773,28784,cosoco,2.0,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2.0,14.8766,SAT,14.8779,28784,cosoco,2.0,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2,14.919,SAT,14.9192,28784,cosoco,2,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),16.2042,SAT,5.10928,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-09-22),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP order+ManyGlucose (2019-09-22),16.3254,SAT,5.21951,27443924,Fun-sCOP,order+ManyGlucose (2019-09-22),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP hybrid+ManyGlucose (2019-06-15),16.5128,SAT,5.24923,27441876,Fun-sCOP,hybrid+ManyGlucose (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP order+ManyGlucose (2019-06-15),16.5567,SAT,5.47742,27443924,Fun-sCOP,order+ManyGlucose (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-24,69.1219,SAT,63.705,15264284,choco-solver,2019-09-24,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.10,81.2146,SAT,68.9308,10849960,Concrete,3.10,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,PicatSAT 2019-09-12,228.644,SAT,228.65,2199068,PicatSAT,2019-09-12,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.12.2,519.439,SAT,498.166,10849984,Concrete,3.12.2,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.12.2,2520.08,UNKNOWN TO,2466.13,10851996,Concrete,3.12.2,1200.0,False,False,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,BTD 19.07.01,0.045375,SAT,0.046024,0,BTD,19.07.01,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2.O parallel,0.192267,SAT,0.0826649,0,cosoco,2.O parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2.0 parallel,0.194462,SAT,0.0842389,0,cosoco,2.0 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-16,1.75339,SAT,0.761042,15530540,choco-solver,2019-09-16,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-20,1.57938,SAT,0.704395,15465004,choco-solver,2019-09-20,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-06-14,1.68856,SAT,0.740422,15530532,choco-solver,2019-06-14,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-20 parallel,2.20307,SAT,0.798964,28879416,choco-solver,2019-09-20 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-24 parallel,2.0356,SAT,0.772626,28879416,choco-solver,2019-09-24 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-06-14 parallel,2.5853,SAT,0.890231,28881456,choco-solver,2019-06-14 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-16 parallel,2.57443,SAT,0.897438,28879416,choco-solver,2019-09-16 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,AbsCon 2019-07-23,3.77132,SAT,2.36899,10746276,AbsCon,2019-07-23,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Concrete 3.12.3,189.841,SAT,175.507,10849980,Concrete,3.12.3,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),14.8833,SAT,8.14735,15140452,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),14.6022,SAT,7.84883,15140432,Fun-sCOP,order+GlueMiniSat (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2.0,0.347714,SAT,0.349008,29456,cosoco,2.0,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2.0,0.349187,SAT,0.349243,29456,cosoco,2.0,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2,0.347661,SAT,0.348062,29456,cosoco,2,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),23.8447,SAT,6.57058,27441856,Fun-sCOP,hybrid+ManyGlucose (2019-09-22),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP order+ManyGlucose (2019-09-22),23.5169,SAT,6.62165,27441876,Fun-sCOP,order+ManyGlucose (2019-09-22),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP hybrid+ManyGlucose (2019-06-15),25.1224,SAT,6.60309,27441876,Fun-sCOP,hybrid+ManyGlucose (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Fun-sCOP order+ManyGlucose (2019-06-15),24.214,SAT,6.92488,27441876,Fun-sCOP,order+ManyGlucose (2019-06-15),1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,choco-solver 2019-09-24,46.7505,SAT,42.0101,15264284,choco-solver,2019-09-24,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Concrete 3.10,127.241,SAT,115.237,10849960,Concrete,3.10,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,PicatSAT 2019-09-12,290.328,SAT,290.334,2185708,PicatSAT,2019-09-12,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Concrete 3.12.2,93.5386,SAT,79.4634,10851996,Concrete,3.12.2,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,Concrete 3.12.2,2520.1,UNKNOWN TO,2466.23,10849984,Concrete,3.12.2,1200.0,False,False,False,True,AllInterval
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,BTD 19.07.01,2519.91,UNKNOWN TO,2520.05,2521640,BTD,19.07.01,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,cosoco 2.O parallel,49.6342,UNKNOWN MO,51.6267,31771020,cosoco,2.O parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,cosoco 2.0 parallel,48.4697,UNKNOWN MO,50.7958,31792884,cosoco,2.0 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-16,2520.66,UNKNOWN TO,672.954,15532588,choco-solver,2019-09-16,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-20,2520.74,UNKNOWN TO,678.491,15532588,choco-solver,2019-09-20,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-06-14,2520.42,UNKNOWN TO,669.61,15532580,choco-solver,2019-06-14,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-20 parallel,19380.1,UNKNOWN TO,2520.62,28881464,choco-solver,2019-09-20 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-24 parallel,19271.9,UNKNOWN TO,2520.17,28881464,choco-solver,2019-09-24 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-06-14 parallel,19402.4,UNKNOWN TO,2520.15,28881456,choco-solver,2019-06-14 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-16 parallel,19340.5,UNKNOWN TO,2520.16,28881464,choco-solver,2019-09-16 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,AbsCon 2019-07-23,2520.04,UNKNOWN TO,2495.14,10749348,AbsCon,2019-07-23,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.12.3,2520.2,UNKNOWN TO,2395.32,10849636,Concrete,3.12.3,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),2520.44,UNKNOWN TO,2447.44,15142500,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2520.28,UNKNOWN TO,2440.0,15142500,Fun-sCOP,order+GlueMiniSat (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,cosoco 2.0,119.782,UNKNOWN MO,121.49,15875180,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,cosoco 2.0,120.215,UNKNOWN MO,122.028,15875180,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,cosoco 2,140.442,UNKNOWN MO,142.192,15877616,cosoco,2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),4525.37,UNKNOWN TO,2520.47,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-09-22),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP order+ManyGlucose (2019-09-22),6125.75,UNKNOWN TO,2520.47,27443924,Fun-sCOP,order+ManyGlucose (2019-09-22),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP hybrid+ManyGlucose (2019-06-15),4488.1,UNKNOWN TO,2520.46,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Fun-sCOP order+ManyGlucose (2019-06-15),6325.04,UNKNOWN TO,2520.46,27443924,Fun-sCOP,order+ManyGlucose (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,choco-solver 2019-09-24,2520.05,UNKNOWN TO,2492.14,15264284,choco-solver,2019-09-24,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.10,2520.16,UNKNOWN TO,2365.89,10852176,Concrete,3.10,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,PicatSAT 2019-09-12,2520.07,UNKNOWN TO,2519.92,3237684,PicatSAT,2019-09-12,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.12.2,2520.14,UNKNOWN TO,2376.73,10847604,Concrete,3.12.2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml,Concrete 3.12.2,2520.44,UNKNOWN TO,2357.93,11043600,Concrete,3.12.2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,BTD 19.07.01,2519.89,UNKNOWN TO,2520.01,409980,BTD,19.07.01,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2.O parallel,20037.8,UNKNOWN TO,2520.22,6729696,cosoco,2.O parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2.0 parallel,20036.7,UNKNOWN TO,2520.22,6598624,cosoco,2.0 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-16,1666.8,SAT,419.632,15532588,choco-solver,2019-09-16,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-20,1680.89,SAT,423.514,15532588,choco-solver,2019-09-20,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-06-14,2520.63,UNKNOWN TO,634.604,15532580,choco-solver,2019-06-14,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-20 parallel,1274.01,SAT,163.191,28881464,choco-solver,2019-09-20 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-24 parallel,1596.31,SAT,203.66,28881464,choco-solver,2019-09-24 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-06-14 parallel,20073.8,UNKNOWN TO,2520.12,28881456,choco-solver,2019-06-14 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-16 parallel,1367.89,SAT,174.719,28881464,choco-solver,2019-09-16 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,AbsCon 2019-07-23,2520.1,UNKNOWN TO,2508.42,10748324,AbsCon,2019-07-23,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.12.3,2520.12,UNKNOWN TO,2467.55,10846988,Concrete,3.12.3,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),45.027,SAT,24.1703,15142500,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),43.2998,SAT,22.7808,15142500,Fun-sCOP,order+GlueMiniSat (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2.0,2519.73,UNKNOWN TO,2520.01,863048,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2.0,2520.08,UNKNOWN TO,2520.01,863048,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,cosoco 2,2519.75,UNKNOWN TO,2520.01,863048,cosoco,2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),40.7927,SAT,16.6481,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-09-22),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP order+ManyGlucose (2019-09-22),38.0618,SAT,16.2194,27443924,Fun-sCOP,order+ManyGlucose (2019-09-22),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP hybrid+ManyGlucose (2019-06-15),39.2209,SAT,16.6768,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Fun-sCOP order+ManyGlucose (2019-06-15),38.8912,SAT,16.5401,27443924,Fun-sCOP,order+ManyGlucose (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,choco-solver 2019-09-24,379.265,SAT,372.656,15268140,choco-solver,2019-09-24,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.10,2520.11,UNKNOWN TO,2450.15,10846964,Concrete,3.10,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,PicatSAT 2019-09-12,21.1751,SAT,21.177,2111800,PicatSAT,2019-09-12,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.12.2,2520.09,UNKNOWN TO,2463.44,10849628,Concrete,3.12.2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-05-01.xml,Concrete 3.12.2,2520.1,UNKNOWN TO,2451.93,10849592,Concrete,3.12.2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,BTD 19.07.01,2519.77,UNKNOWN TO,2520.01,330540,BTD,19.07.01,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2.O parallel,20047.0,UNKNOWN TO,2520.09,4835072,cosoco,2.O parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2.0 parallel,20046.3,UNKNOWN TO,2520.1,4966144,cosoco,2.0 parallel,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-16,260.369,SAT,66.6846,15532588,choco-solver,2019-09-16,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-20,211.421,SAT,54.0308,15532588,choco-solver,2019-09-20,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-06-14,137.506,SAT,35.4933,15532580,choco-solver,2019-06-14,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-20 parallel,430.111,SAT,56.6692,28881464,choco-solver,2019-09-20 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-24 parallel,446.248,SAT,58.5785,28881464,choco-solver,2019-09-24 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-06-14 parallel,294.378,SAT,40.0692,28881456,choco-solver,2019-06-14 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-16 parallel,438.017,SAT,57.5537,28881464,choco-solver,2019-09-16 parallel,1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,AbsCon 2019-07-23,2520.11,UNKNOWN TO,2505.62,10748324,AbsCon,2019-07-23,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Concrete 3.12.3,2520.07,UNKNOWN TO,2464.43,10846988,Concrete,3.12.3,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),1689.17,SAT,1667.19,15142500,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),2520.14,UNKNOWN TO,2499.13,15142500,Fun-sCOP,order+GlueMiniSat (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2.0,2519.65,UNKNOWN TO,2520.01,635144,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2.0,2519.96,UNKNOWN TO,2520.01,635144,cosoco,2.0,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,cosoco 2,2520.02,UNKNOWN TO,2520.01,635144,cosoco,2,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),18853.6,UNKNOWN TO,2520.09,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-09-22),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP order+ManyGlucose (2019-09-22),16599.1,SAT,2173.44,27443924,Fun-sCOP,order+ManyGlucose (2019-09-22),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP hybrid+ManyGlucose (2019-06-15),18675.2,UNKNOWN TO,2520.11,27443924,Fun-sCOP,hybrid+ManyGlucose (2019-06-15),1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Fun-sCOP order+ManyGlucose (2019-06-15),16513.1,SAT,2153.33,27443924,Fun-sCOP,order+ManyGlucose (2019-06-15),1200.0,False,True,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,choco-solver 2019-09-24,2520.11,UNKNOWN TO,2511.83,15268484,choco-solver,2019-09-24,1200.0,False,False,False,True,Bibd
XCSP17/Bibd/Bibd-sc-stab1/Bibd-sc-25-09-03.xml,Concrete 3.10,2520.1,UNKNOWN TO,2455.84,10846964,Concrete,3.10,1200.0,False,False,False,True,Bibd
